EmployeeNumber,Age,Tenure,Turnover,HourlyRate,HoursWeekly,CompensationType,AnnualSalary,DrivingCommuterDistance,JobRoleArea,Gender,MaritalStatus,NumCompaniesPreviouslyWorked,AnnualProfessionalDevHrs,PaycheckMethod,TextMessageOptIn,TextMessageOptInMissingFlag,TextMessageOptIn_bool,TextMessageOptIn_filled,DevHoursMissingFlag,AnnualProfessionalDevHrs_imputed_median,NumCompaniesMissingFlag,AnnualSalaryCorrected,DrivingCommuterDistanceImputedFlag,DrivingCommuterDistanceOutlierFlag
1,28,6,Yes,24.37,40.0,Salary,50689.6,89.0,Research,Female,Married,3,7.0,Mailed Check,Yes,0,1.0,Yes,0,7.0,0,0,0,0
2,33,2,Yes,24.37,40.0,Salary,50689.6,89.0,Research,Female,Married,6,7.0,Mailed Check,Yes,0,1.0,Yes,0,7.0,0,0,0,0
3,22,1,No,22.52,40.0,Salary,46841.6,35.0,Information Technology,Female,Single,1,8.0,Mailed Check,Yes,0,1.0,Yes,0,8.0,0,0,0,0
4,23,1,No,22.52,40.0,Salary,46841.6,35.0,Information Technology,Female,Single,3,0.0,Mailed Check,Yes,0,1.0,Yes,1,15.0,0,0,0,0
5,40,6,No,88.77,40.0,Salary,184641.6,12.0,Sales,Prefer Not to Answer,Single,7,0.0,Mailed Check,Yes,0,1.0,Yes,1,15.0,0,1,0,0
6,45,16,Yes,88.77,40.0,Salary,184641.6,12.0,Sales,Prefer Not to Answer,Single,4,19.0,Mailed Check,Unknown,1,,Missing,0,19.0,1,1,0,0
7,34,6,No,28.43,40.0,Salary,59134.4,0.0,Human Resources,Male,Single,2,23.0,Mailed Check,Yes,0,1.0,Yes,0,23.0,0,0,0,0
8,37,9,Yes,28.43,40.0,Salary,59134.4,0.0,Human Resources,Male,Single,1,25.0,Mailed Check,Yes,0,1.0,Yes,0,25.0,0,0,0,0
9,23,1,No,21.87,40.0,Salary,45489.6,76.0,Human Resources,Female,Single,1,0.0,Mailed Check,Yes,0,1.0,Yes,1,15.0,0,0,0,0
10,24,1,Yes,21.87,40.0,Salary,45489.6,76.0,Human Resources,Female,Single,2,9.0,Mailed Check,Yes,0,1.0,Yes,0,9.0,0,0,0,0
